!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,411,86,26,11,1,9,6,0,5,.233,.477,.244,.273
,,,Sinker,218,44,9,8,0,7,0,0,2,.205,.341,.136,.212
,,,Change,42,9,5,2,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,264,58,26,0,1,6,4,0,1,.190,.310,.121,.323
,,,Curve,100,21,14,1,1,2,0,0,0,.095,.095,.000,.286
,,,Cutter,70,21,7,0,0,4,1,0,1,.286,.476,.191,.385
,,,Split,9,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=593140&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Feliz,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=466320&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Melky Cabrera,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2398,525,86,51,4,82,22,1,17,.232,.375,.143,.249
,,,Sinker,1319,340,19,20,0,94,16,2,5,.344,.447,.103,.354
,,,Change,998,293,27,14,1,50,19,0,8,.263,.410,.147,.267
,,,Slider,583,166,34,3,1,30,7,0,7,.265,.434,.169,.296
,,,Curve,537,134,27,3,0,22,9,2,5,.284,.493,.209,.324
,,,Cutter,363,92,10,5,0,19,8,0,3,.326,.511,.185,.342
,,,Split,61,15,3,1,0,3,3,0,0,.400,.600,.200,.500
,,,Screwball,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605242&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Fulmer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=150212&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Cuddyer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1562,362,65,56,3,55,24,2,19,.276,.511,.235,.291
,,,Sinker,891,182,17,38,0,39,13,2,8,.341,.566,.225,.344
,,,Change,727,179,16,9,0,29,15,0,12,.313,.598,.285,.291
,,,Slider,387,106,37,4,0,16,4,0,6,.245,.453,.208,.318
,,,Curve,382,77,29,8,3,9,6,0,2,.221,.377,.156,.326
,,,Cutter,337,90,13,6,0,14,9,0,2,.278,.444,.167,.307
,,,Split,27,8,2,0,0,1,1,0,1,.375,.875,.500,.400
,,,Screwball,3,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=283166&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547184&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Kelly,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457779&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Kirkman,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641684&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Hermosillo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,24,7,1,0,0,1,1,0,0,.286,.429,.143,.333
,,,Sinker,11,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,15,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,4,1,0,0,0,0,1,0,0,1.000,2.000,1.000,1.000
,,,Curve,16,2,2,0,2,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547179&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Lorenzen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,25,4,2,1,0,1,0,0,0,.250,.250,.000,.500
,,,Sinker,36,9,3,0,0,2,0,1,1,.444,1.000,.556,.600
,,,Change,12,5,0,0,0,0,0,0,1,.200,.800,.600,.000
,,,Slider,5,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,7,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,6,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543409&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Kohn,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592527&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Mariot,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=492841&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Martinez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,250,75,5,1,0,15,1,0,0,.213,.227,.013,.229
,,,Sinker,126,28,4,3,0,6,1,0,1,.286,.429,.143,.304
,,,Change,83,27,4,0,0,7,1,0,0,.296,.333,.037,.348
,,,Slider,69,21,9,1,0,1,1,0,0,.095,.143,.048,.167
,,,Curve,77,23,10,0,0,2,0,0,0,.087,.087,.000,.154
,,,Cutter,23,8,2,0,0,0,1,0,0,.125,.250,.125,.167
,,,Split,10,4,1,0,0,0,1,0,0,.250,.500,.250,.333
,,,Slow Curve,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=501381&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Pineda,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,10,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605439&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Reed,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,31,6,2,0,0,0,1,0,1,.333,1.000,.667,.333
,,,Sinker,12,4,1,0,0,1,0,0,0,.250,.250,.000,.333
,,,Change,10,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,2,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607706&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Roth,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=434604&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Morse,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1217,223,62,27,0,29,18,2,14,.283,.570,.287,.333
,,,Sinker,476,121,19,6,1,28,4,0,5,.306,.463,.157,.330
,,,Change,413,136,34,8,0,24,9,0,9,.309,.574,.265,.355
,,,Slider,241,77,33,1,4,7,1,1,4,.169,.364,.195,.225
,,,Curve,280,64,22,2,1,9,5,0,2,.250,.422,.172,.350
,,,Cutter,240,62,23,6,0,8,2,0,1,.177,.258,.081,.263
,,,Split,30,6,3,2,1,1,0,0,0,.167,.167,.000,.333
,,,Screwball,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=452741&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Stutes,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502374&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael McKenry,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,351,64,14,15,0,7,8,0,2,.266,.484,.219,.313
,,,Sinker,228,47,8,8,0,7,1,0,1,.192,.277,.085,.211
,,,Change,151,41,11,5,0,6,2,0,2,.244,.439,.195,.286
,,,Slider,74,18,10,2,0,1,1,0,0,.111,.167,.056,.250
,,,Curve,87,14,7,1,0,2,1,0,1,.286,.571,.286,.500
,,,Cutter,57,9,4,2,0,2,0,0,1,.333,.667,.333,.500
,,,Split,3,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=446345&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Taylor,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,122,26,10,4,0,2,0,0,0,.077,.077,.000,.125
,,,Sinker,66,9,3,3,0,3,0,0,0,.333,.333,.000,.500
,,,Change,56,17,7,1,0,2,0,0,0,.118,.118,.000,.200
,,,Slider,25,7,2,1,0,2,0,0,1,.429,.857,.429,.500
,,,Curve,31,9,2,0,0,1,0,0,0,.111,.111,.000,.143
,,,Cutter,21,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543859&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Tonkin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=650520&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Micker Adolfo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=608379&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Wacha,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,133,22,15,0,0,4,0,0,0,.182,.182,.000,.571
,,,Sinker,81,11,1,2,0,2,0,0,0,.182,.182,.000,.200
,,,Change,11,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,13,5,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,22,7,6,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,10,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,2,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=459431&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Saunders,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1425,292,84,30,1,46,15,3,12,.260,.456,.195,.327
,,,Sinker,673,143,31,12,3,24,2,0,1,.189,.224,.035,.234
,,,Change,95,27,14,1,0,2,1,1,0,.148,.259,.111,.308
,,,Slider,677,169,65,14,0,23,6,3,6,.225,.402,.178,.327
,,,Curve,378,80,28,4,0,9,4,0,4,.213,.413,.200,.271
,,,Cutter,240,68,15,5,0,9,3,1,2,.221,.382,.162,.255
,,,Split,5,2,1,0,0,1,0,0,0,.500,.500,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=572191&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Taylor,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,482,97,52,9,0,14,3,1,6,.247,.485,.237,.462
,,,Sinker,275,66,19,7,0,11,3,0,3,.258,.439,.182,.318
,,,Change,277,84,22,2,0,15,4,0,2,.250,.369,.119,.317
,,,Slider,185,57,20,2,0,12,5,0,2,.333,.526,.193,.486
,,,Curve,133,28,11,0,0,6,1,0,1,.286,.429,.143,.438
,,,Cutter,84,21,5,1,0,5,0,0,1,.286,.429,.143,.333
,,,Split,25,7,0,1,0,1,0,0,0,.143,.143,.000,.143
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=573589&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Ynoa,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=493547&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Mickey Storey,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=602083&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Almonte,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=646057&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=609280&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Andujar,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,84,18,2,3,0,4,1,0,0,.278,.333,.056,.313
,,,Sinker,49,14,2,1,0,1,0,1,1,.214,.571,.357,.182
,,,Change,69,19,3,0,0,0,1,0,0,.053,.105,.053,.063
,,,Slider,46,11,2,0,0,0,1,0,1,.182,.546,.364,.125
,,,Curve,30,11,2,0,0,2,3,0,2,.636,1.455,.818,.714
,,,Cutter,37,7,1,0,1,2,0,0,1,.429,.857,.429,.400
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=612434&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Castro,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=600887&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Del Pozo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=622766&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Diaz,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=622497&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Gomez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,21,4,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,8,2,0,0,0,2,0,0,0,1.000,1.000,.000,1.000
,,,Change,12,4,1,0,0,1,1,0,0,.500,.750,.250,.667
,,,Slider,18,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,9,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,3,2,0,0,1,0,0,0,.333,.333,.000,1.000
,,,Split,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456068&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,23,3,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,13,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=544838&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=462515&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Socolovich,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=500743&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Rojas,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,485,107,9,9,1,11,8,0,2,.196,.327,.131,.198
,,,Sinker,179,48,5,3,0,8,3,0,0,.229,.292,.063,.256
,,,Change,121,33,5,1,0,5,1,1,0,.212,.303,.091,.250
,,,Slider,104,34,5,4,0,6,2,0,1,.265,.412,.147,.286
,,,Curve,97,21,4,1,1,1,1,0,0,.095,.143,.048,.118
,,,Cutter,40,12,0,0,0,4,0,0,0,.333,.333,.000,.333
,,,Split,22,7,2,0,0,1,0,0,0,.143,.143,.000,.200
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=400018&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Olivo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,834,190,59,17,0,30,7,0,4,.216,.316,.100,.291
,,,Sinker,492,117,16,8,0,20,7,0,5,.274,.462,.188,.281
,,,Change,559,177,39,3,0,31,7,3,10,.288,.531,.243,.320
,,,Slider,274,87,31,1,0,9,4,0,8,.241,.563,.322,.271
,,,Curve,320,83,43,1,0,11,0,0,3,.169,.277,.108,.297
,,,Cutter,162,45,6,3,0,10,5,0,3,.400,.711,.311,.417
,,,Split,24,7,2,0,0,1,0,0,0,.143,.143,.000,.200
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=593934&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Sano,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,482,86,30,17,0,8,6,1,6,.244,.547,.302,.300
,,,Sinker,252,57,12,11,0,14,5,2,2,.404,.667,.263,.488
,,,Change,342,80,32,7,0,10,3,0,4,.213,.400,.188,.296
,,,Slider,160,27,21,1,0,0,1,0,1,.074,.222,.148,.200
,,,Curve,157,36,18,1,0,3,1,0,5,.250,.694,.444,.308
,,,Cutter,106,21,9,6,0,3,0,0,0,.143,.143,.000,.250
,,,Split,14,5,2,0,0,2,1,0,0,.600,.800,.200,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=408234&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Cabrera,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2673,450,96,101,4,92,28,1,24,.322,.549,.227,.367
,,,Sinker,1237,197,37,52,0,37,12,0,11,.305,.533,.228,.329
,,,Change,1056,290,30,33,0,59,26,0,20,.362,.659,.297,.354
,,,Slider,682,184,67,15,1,30,15,1,8,.294,.516,.223,.422
,,,Curve,591,163,43,15,0,26,9,0,2,.227,.319,.092,.297
,,,Cutter,454,132,13,12,1,31,12,0,5,.364,.568,.205,.377
,,,Split,29,8,1,1,0,2,1,0,0,.375,.500,.125,.429
,,,Screwball,2,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Slow Curve,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=658531&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguelangel Sierra,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=471083&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Miguel Montero,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1466,257,81,45,6,43,8,0,9,.234,.370,.136,.305
,,,Sinker,638,147,21,10,7,25,4,0,2,.211,.279,.068,.234
,,,Change,103,26,6,0,2,3,0,0,1,.154,.269,.115,.158
,,,Slider,707,212,58,4,3,27,10,0,4,.193,.297,.104,.247
,,,Curve,328,87,28,2,1,13,5,0,2,.230,.356,.126,.316
,,,Cutter,241,77,8,3,0,14,8,0,1,.299,.442,.143,.324
,,,Split,13,8,6,0,0,0,0,0,1,.125,.500,.375,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=430606&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Mike Adams,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=488689&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Mike Baxter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,94,13,7,5,1,2,0,0,0,.154,.154,.000,.333
,,,Sinker,28,6,2,1,0,2,0,0,0,.333,.333,.000,.500
,,,Change,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,68,16,4,0,0,2,1,0,0,.188,.250,.063,.250
,,,Curve,11,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,5,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Split,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=506988&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Michael Belfiore,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502211&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Mike Bolsinger,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,13,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,8,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,4,2,2,0,0,0,0,0,0,.000,.000,.000,.000
