!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641553&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Engel,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,238,59,19,5,0,7,2,2,0,.186,.288,.102,.275
,,,Sinker,111,23,2,3,0,5,2,1,0,.348,.522,.174,.381
,,,Change,61,21,6,0,0,3,1,0,1,.238,.429,.191,.286
,,,Slider,58,14,5,1,1,1,0,1,0,.143,.286,.143,.222
,,,Curve,59,12,5,0,0,1,0,0,0,.083,.083,.000,.143
,,,Cutter,31,10,1,0,1,1,1,0,0,.200,.300,.100,.222
,,,Split,6,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592473&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Kolarek,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=624428&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Frazier,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,156,34,8,3,0,9,1,0,0,.294,.324,.029,.385
,,,Sinker,74,20,0,1,1,4,0,0,0,.200,.200,.000,.200
,,,Change,11,3,1,0,0,1,0,0,0,.333,.333,.000,.500
,,,Slider,93,21,4,2,0,10,0,0,0,.476,.476,.000,.588
,,,Curve,36,7,3,0,0,3,0,0,0,.429,.429,.000,.750
,,,Cutter,21,7,1,0,0,2,0,0,0,.286,.286,.000,.333
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594809&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Eaton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,991,149,23,37,8,38,6,1,0,.302,.356,.054,.357
,,,Sinker,559,156,17,9,5,39,7,0,0,.295,.340,.045,.331
,,,Change,66,22,5,0,0,3,0,0,1,.182,.318,.136,.188
,,,Slider,427,123,28,2,0,25,6,2,1,.276,.382,.106,.351
,,,Curve,237,84,20,1,1,16,2,1,0,.226,.274,.048,.297
,,,Cutter,145,45,6,0,1,10,0,1,0,.244,.289,.044,.282
,,,Split,8,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571893&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Liberatore,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
