!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592450&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Judge,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1329,243,94,52,3,33,12,1,28,.305,.708,.403,.380
,,,Sinker,654,136,29,26,2,26,4,0,15,.331,.691,.360,.326
,,,Change,252,55,22,6,0,9,2,0,7,.327,.746,.418,.423
,,,Slider,975,176,85,25,0,18,10,0,7,.199,.375,.176,.333
,,,Curve,402,73,33,8,0,8,4,0,8,.274,.658,.384,.375
,,,Cutter,288,60,21,11,0,8,5,0,4,.283,.567,.283,.371
,,,Split,73,15,8,3,0,1,0,0,0,.067,.067,.000,.143
,,,Knuckler,12,4,3,0,0,0,1,0,0,.250,.500,.250,1.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605400&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Nola,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,244,43,20,5,0,7,1,0,0,.186,.209,.023,.348
,,,Sinker,111,26,11,2,0,0,0,0,0,.000,.000,.000,.000
,,,Change,7,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,69,19,14,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,39,13,11,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,31,7,5,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571901&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Loup,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=431094&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Hill,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4995,1234,133,117,11,218,79,9,40,.280,.456,.176,.288
,,,Sinker,2675,640,53,44,16,129,39,0,20,.294,.448,.155,.296
,,,Change,700,173,45,16,4,24,7,0,8,.225,.405,.179,.258
,,,Slider,2540,636,162,29,3,95,35,1,14,.228,.352,.124,.285
,,,Curve,1243,308,65,4,2,53,10,1,12,.247,.403,.156,.277
,,,Cutter,1008,253,46,9,0,40,7,2,7,.221,.348,.127,.245
,,,Split,252,63,15,1,1,8,4,0,2,.222,.381,.159,.261
,,,Knuckler,99,23,6,0,0,6,0,0,0,.261,.261,.000,.353
,,,Slow Curve,15,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519145&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Poreda,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592717&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Sanchez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,13,3,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,6,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=572041&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Pollock,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2039,470,66,55,4,85,39,11,22,.334,.604,.270,.353
,,,Sinker,1184,313,33,29,5,71,17,2,3,.297,.393,.096,.325
,,,Change,307,70,22,9,0,5,4,0,1,.143,.243,.100,.192
,,,Slider,1231,322,81,15,1,48,20,3,9,.248,.413,.165,.306
,,,Curve,585,132,34,3,0,23,10,0,1,.258,.356,.099,.340
,,,Cutter,506,132,29,11,2,31,4,1,3,.296,.409,.114,.360
,,,Split,73,22,8,0,0,4,1,0,0,.227,.273,.046,.357
,,,Knuckler,17,4,1,0,0,0,1,0,0,.250,.500,.250,.333
,,,Slow Curve,9,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642083&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Slegers,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457744&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Thompson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=658792&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Wilkerson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,9,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=593582&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Abel De Los Santos,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=606167&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adalberto Mejia,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543045&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Conley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,121,24,12,2,0,5,0,0,0,.208,.208,.000,.417
,,,Sinker,63,13,4,0,0,1,0,0,0,.077,.077,.000,.111
,,,Change,12,5,2,0,0,1,0,0,0,.200,.200,.000,.333
,,,Slider,19,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,35,12,8,0,0,1,0,0,0,.083,.083,.000,.250
,,,Cutter,3,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Split,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,7,2,1,0,0,1,0,0,0,.500,.500,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=501659&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Abraham Almonte,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1053,239,54,30,0,35,14,7,6,.259,.452,.193,.313
,,,Sinker,556,128,22,16,0,27,9,1,4,.320,.500,.180,.363
,,,Change,422,102,26,7,0,15,7,1,0,.226,.314,.088,.303
,,,Slider,357,89,29,4,0,9,3,3,2,.191,.360,.169,.259
,,,Curve,403,81,34,6,1,12,1,0,1,.173,.222,.049,.283
,,,Cutter,190,44,9,2,0,5,4,0,0,.205,.296,.091,.257
,,,Split,71,21,9,0,0,0,0,0,1,.048,.191,.143,.000
,,,Knuckler,8,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=643256&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Cimber,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594807&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Duvall,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1540,334,126,33,1,19,20,2,24,.195,.482,.287,.223
,,,Sinker,1033,260,35,14,5,60,14,3,8,.327,.496,.169,.355
,,,Change,278,70,32,4,3,4,4,0,4,.171,.400,.229,.235
,,,Slider,973,262,95,5,3,25,13,0,13,.195,.393,.199,.247
,,,Curve,485,115,35,4,3,8,10,1,6,.217,.478,.261,.257
,,,Cutter,301,77,14,8,0,12,2,0,4,.234,.416,.182,.237
,,,Split,67,22,8,1,0,3,1,1,1,.273,.546,.273,.385
,,,Knuckler,10,0,0,2,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641553&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Engel,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,668,141,53,14,4,16,6,1,2,.177,.277,.099,.267
,,,Sinker,293,66,11,4,4,10,6,0,4,.303,.576,.273,.314
,,,Change,59,18,7,2,0,2,1,0,0,.167,.222,.056,.273
,,,Slider,386,92,39,1,1,10,0,0,1,.120,.152,.033,.192
,,,Curve,149,34,19,0,3,7,0,0,0,.206,.206,.000,.467
,,,Cutter,137,28,9,1,0,3,1,0,0,.143,.179,.036,.211
,,,Split,11,3,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,6,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594809&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Eaton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3095,527,98,99,20,111,36,6,12,.313,.473,.159,.367
,,,Sinker,1510,312,39,39,4,78,16,5,4,.330,.452,.122,.368
,,,Change,808,250,33,12,0,47,15,3,9,.296,.488,.192,.313
,,,Slider,603,180,57,7,4,23,6,6,5,.222,.406,.183,.297
,,,Curve,788,209,54,2,2,31,7,5,2,.215,.325,.110,.281
,,,Cutter,408,97,13,4,2,16,7,3,2,.289,.485,.196,.317
,,,Split,200,66,19,0,0,16,2,1,0,.288,.349,.061,.404
,,,Knuckler,82,18,3,2,0,4,0,1,0,.278,.389,.111,.333
,,,Slow Curve,26,11,2,0,0,0,0,0,1,.091,.364,.273,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=624428&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Frazier,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,999,195,24,27,4,38,12,2,7,.303,.492,.190,.317
,,,Sinker,517,126,23,11,0,26,6,0,3,.278,.397,.119,.320
