!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543305&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Hicks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2622,568,97,96,3,107,24,3,16,.264,.401,.137,.295
,,,Sinker,1531,366,33,50,1,73,19,2,9,.281,.418,.137,.290
,,,Change,1206,271,67,21,0,41,9,1,14,.240,.435,.196,.268
,,,Slider,887,195,93,15,2,12,8,0,7,.139,.287,.149,.211
,,,Curve,939,156,71,10,2,17,3,2,1,.147,.212,.064,.262
,,,Cutter,511,117,31,12,1,13,6,0,6,.214,.419,.205,.238
,,,Split,202,44,14,3,0,8,1,1,1,.250,.386,.136,.345
,,,Knuckler,42,10,2,0,0,1,0,0,0,.100,.100,.000,.125
,,,Slow Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592450&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Judge,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1745,318,121,71,3,44,14,1,34,.293,.664,.371,.362
,,,Sinker,889,172,41,36,2,28,6,0,17,.297,.628,.331,.298
,,,Change,497,85,33,21,0,13,3,0,9,.294,.647,.353,.372
,,,Slider,1199,212,107,34,2,22,12,0,8,.198,.368,.170,.351
,,,Curve,506,96,47,10,1,11,5,1,9,.271,.625,.354,.425
,,,Cutter,356,78,31,11,0,10,6,0,4,.256,.487,.231,.372
